"week","inventory_needed","number_of_items_needed"
34,"6MBTST-PD-8781234",19
35,"6MBTST-PD-8781234",22
36,"6MBTST-PD-8781234",24
37,"6MBTST-PD-8781234",26
38,"6MBTST-PD-8781234",29
39,"6MBTST-PD-8781234",32
40,"6MBTST-PD-8781234",35
41,"6MBTST-PD-8781234",39
42,"6MBTST-PD-8781234",43
43,"6MBTST-PD-8781234",47
44,"6MBTST-PD-8781234",52
45,"6MBTST-PD-8781234",58
46,"6MBTST-PD-8781234",64
47,"6MBTST-PD-8781234",70
48,"6MBTST-PD-8781234",77
49,"6MBTST-PD-8781234",85
50,"6MBTST-PD-8781234",94
51,"6MBTST-PD-8781234",104
52,"6MBTST-PD-8781234",115
53,"6MBTST-PD-8781234",126
1,"900-191636",40
2,"900-191636",17
3,"900-191636",17
4,"900-191636",18
5,"900-191636",18
6,"900-191636",18
7,"900-191636",18
8,"900-191636",18
9,"900-191636",18
10,"900-191636",18
11,"900-191636",18
12,"900-191636",18
13,"900-191636",18
14,"900-191636",18
15,"900-191636",18
16,"900-191636",19
17,"900-191636",19
18,"900-191636",19
19,"900-191636",19
20,"900-191636",19
21,"900-191636",19
22,"900-191636",19
23,"900-191636",19
24,"900-191636",19
25,"900-191636",19
26,"900-191636",19
27,"900-191636",19
28,"900-191636",20
29,"900-191636",20
30,"900-191636",20
31,"900-191636",20
32,"900-191636",20
33,"900-191636",20
34,"900-191636",20
35,"900-191636",20
36,"900-191636",20
37,"900-191636",20
38,"900-191636",20
39,"900-191636",21
40,"900-191636",21
41,"900-191636",21
42,"900-191636",21
43,"900-191636",21
44,"900-191636",21
45,"900-191636",21
46,"900-191636",21
47,"900-191636",21
48,"900-191636",21
49,"900-191636",22
50,"900-191636",22
51,"900-191636",22
52,"900-191636",22
53,"900-191636",22
1,"A-AP5P2P-WE",50
2,"A-AP5P2P-WE",31
3,"A-AP5P2P-WE",30
4,"A-AP5P2P-WE",30
5,"A-AP5P2P-WE",30
6,"A-AP5P2P-WE",30
7,"A-AP5P2P-WE",29
8,"A-AP5P2P-WE",29
9,"A-AP5P2P-WE",29
10,"A-AP5P2P-WE",28
11,"A-AP5P2P-WE",28
12,"A-AP5P2P-WE",28
13,"A-AP5P2P-WE",28
14,"A-AP5P2P-WE",27
15,"A-AP5P2P-WE",27
16,"A-AP5P2P-WE",27
17,"A-AP5P2P-WE",27
18,"A-AP5P2P-WE",26
19,"A-AP5P2P-WE",26
20,"A-AP5P2P-WE",26
21,"A-AP5P2P-WE",26
22,"A-AP5P2P-WE",26
23,"A-AP5P2P-WE",25
24,"A-AP5P2P-WE",25
25,"A-AP5P2P-WE",25
26,"A-AP5P2P-WE",25
27,"A-AP5P2P-WE",24
28,"A-AP5P2P-WE",24
29,"A-AP5P2P-WE",24
30,"A-AP5P2P-WE",24
31,"A-AP5P2P-WE",23
32,"A-AP5P2P-WE",23
33,"A-AP5P2P-WE",23
34,"A-AP5P2P-WE",23
35,"A-AP5P2P-WE",23
36,"A-AP5P2P-WE",22
37,"A-AP5P2P-WE",22
38,"A-AP5P2P-WE",22
39,"A-AP5P2P-WE",22
40,"A-AP5P2P-WE",22
41,"A-AP5P2P-WE",21
42,"A-AP5P2P-WE",21
43,"A-AP5P2P-WE",21
44,"A-AP5P2P-WE",21
45,"A-AP5P2P-WE",21
46,"A-AP5P2P-WE",20
47,"A-AP5P2P-WE",20
48,"A-AP5P2P-WE",20
49,"A-AP5P2P-WE",20
50,"A-AP5P2P-WE",20
51,"A-AP5P2P-WE",20
52,"A-AP5P2P-WE",19
53,"A-AP5P2P-WE",19
1,"A510004",2780
2,"A510004",1433
3,"A510004",1432
4,"A510004",1430
5,"A510004",1428
6,"A510004",1426
7,"A510004",1424
8,"A510004",1423
9,"A510004",1421
10,"A510004",1419
11,"A510004",1417
12,"A510004",1416
13,"A510004",1414
14,"A510004",1412
15,"A510004",1411
16,"A510004",1409
17,"A510004",1407
18,"A510004",1405
19,"A510004",1404
20,"A510004",1402
21,"A510004",1400
22,"A510004",1398
23,"A510004",1397
24,"A510004",1395
25,"A510004",1393
26,"A510004",1392
27,"A510004",1390
28,"A510004",1388
29,"A510004",1386
30,"A510004",1385
31,"A510004",1383
32,"A510004",1381
33,"A510004",1380
34,"A510004",1378
35,"A510004",1376
36,"A510004",1375
37,"A510004",1373
38,"A510004",1371
39,"A510004",1369
40,"A510004",1368
41,"A510004",1366
42,"A510004",1364
43,"A510004",1363
44,"A510004",1361
45,"A510004",1359
46,"A510004",1358
47,"A510004",1356
48,"A510004",1354
49,"A510004",1353
50,"A510004",1351
51,"A510004",1349
52,"A510004",1348
53,"A510004",1346
1,"ACT-203",154
2,"ACT-203",72
3,"ACT-203",73
4,"ACT-203",73
5,"ACT-203",73
6,"ACT-203",73
7,"ACT-203",73
8,"ACT-203",73
9,"ACT-203",74
10,"ACT-203",74
11,"ACT-203",74
12,"ACT-203",74
13,"ACT-203",74
14,"ACT-203",74
15,"ACT-203",75
16,"ACT-203",75
17,"ACT-203",75
18,"ACT-203",75
19,"ACT-203",75
20,"ACT-203",75
21,"ACT-203",76
22,"ACT-203",76
23,"ACT-203",76
24,"ACT-203",76
25,"ACT-203",76
26,"ACT-203",76
27,"ACT-203",77
28,"ACT-203",77
29,"ACT-203",77
30,"ACT-203",77
31,"ACT-203",77
32,"ACT-203",77
33,"ACT-203",78
34,"ACT-203",78
35,"ACT-203",78
36,"ACT-203",78
37,"ACT-203",78
38,"ACT-203",79
39,"ACT-203",79
40,"ACT-203",79
41,"ACT-203",79
42,"ACT-203",79
43,"ACT-203",79
44,"ACT-203",80
45,"ACT-203",80
46,"ACT-203",80
47,"ACT-203",80
48,"ACT-203",80
49,"ACT-203",80
50,"ACT-203",81
51,"ACT-203",81
52,"ACT-203",81
53,"ACT-203",81
1,"ACT-205",78
2,"ACT-205",49
3,"ACT-205",48
4,"ACT-205",48
5,"ACT-205",47
6,"ACT-205",47
7,"ACT-205",46
8,"ACT-205",46
9,"ACT-205",45
10,"ACT-205",45
11,"ACT-205",44
12,"ACT-205",44
13,"ACT-205",44
14,"ACT-205",43
15,"ACT-205",43
16,"ACT-205",42
17,"ACT-205",42
18,"ACT-205",41
19,"ACT-205",41
20,"ACT-205",40
21,"ACT-205",40
22,"ACT-205",40
23,"ACT-205",39
24,"ACT-205",39
25,"ACT-205",38
26,"ACT-205",38
27,"ACT-205",38
28,"ACT-205",37
29,"ACT-205",37
30,"ACT-205",36
31,"ACT-205",36
32,"ACT-205",36
33,"ACT-205",35
34,"ACT-205",35
35,"ACT-205",35
36,"ACT-205",34
37,"ACT-205",34
38,"ACT-205",34
39,"ACT-205",33
40,"ACT-205",33
41,"ACT-205",32
42,"ACT-205",32
43,"ACT-205",32
44,"ACT-205",31
45,"ACT-205",31
46,"ACT-205",31
47,"ACT-205",31
48,"ACT-205",30
49,"ACT-205",30
50,"ACT-205",30
51,"ACT-205",29
52,"ACT-205",29
53,"ACT-205",29
1,"AF-1658-CGW-16S",98
2,"AF-1658-CGW-16S",80
3,"AF-1658-CGW-16S",77
4,"AF-1658-CGW-16S",75
5,"AF-1658-CGW-16S",73
6,"AF-1658-CGW-16S",70
7,"AF-1658-CGW-16S",68
8,"AF-1658-CGW-16S",66
9,"AF-1658-CGW-16S",64
10,"AF-1658-CGW-16S",62
11,"AF-1658-CGW-16S",60
12,"AF-1658-CGW-16S",58
13,"AF-1658-CGW-16S",57
14,"AF-1658-CGW-16S",55
15,"AF-1658-CGW-16S",53
16,"AF-1658-CGW-16S",51
17,"AF-1658-CGW-16S",50
18,"AF-1658-CGW-16S",48
19,"AF-1658-CGW-16S",47
20,"AF-1658-CGW-16S",45
21,"AF-1658-CGW-16S",44
22,"AF-1658-CGW-16S",43
23,"AF-1658-CGW-16S",41
24,"AF-1658-CGW-16S",40
25,"AF-1658-CGW-16S",39
26,"AF-1658-CGW-16S",38
27,"AF-1658-CGW-16S",36
28,"AF-1658-CGW-16S",35
29,"AF-1658-CGW-16S",34
30,"AF-1658-CGW-16S",33
31,"AF-1658-CGW-16S",32
32,"AF-1658-CGW-16S",31
33,"AF-1658-CGW-16S",30
34,"AF-1658-CGW-16S",29
35,"AF-1658-CGW-16S",28
36,"AF-1658-CGW-16S",27
37,"AF-1658-CGW-16S",27
38,"AF-1658-CGW-16S",26
39,"AF-1658-CGW-16S",25
40,"AF-1658-CGW-16S",24
41,"AF-1658-CGW-16S",23
42,"AF-1658-CGW-16S",23
43,"AF-1658-CGW-16S",22
44,"AF-1658-CGW-16S",21
45,"AF-1658-CGW-16S",21
46,"AF-1658-CGW-16S",20
47,"AF-1658-CGW-16S",19
48,"AF-1658-CGW-16S",19
49,"AF-1658-CGW-16S",18
50,"AF-1658-CGW-16S",18
51,"AF-1658-CGW-16S",17
52,"AF-1658-CGW-16S",16
53,"AF-1658-CGW-16S",16
1,"AF-1758-5.125SB",92
2,"AF-1758-5.125SB",55
3,"AF-1758-5.125SB",54
4,"AF-1758-5.125SB",54
5,"AF-1758-5.125SB",53
6,"AF-1758-5.125SB",53
7,"AF-1758-5.125SB",53
8,"AF-1758-5.125SB",52
9,"AF-1758-5.125SB",52
10,"AF-1758-5.125SB",51
11,"AF-1758-5.125SB",51
12,"AF-1758-5.125SB",50
13,"AF-1758-5.125SB",50
14,"AF-1758-5.125SB",50
15,"AF-1758-5.125SB",49
16,"AF-1758-5.125SB",49
17,"AF-1758-5.125SB",48
18,"AF-1758-5.125SB",48
19,"AF-1758-5.125SB",48
20,"AF-1758-5.125SB",47
21,"AF-1758-5.125SB",47
22,"AF-1758-5.125SB",47
23,"AF-1758-5.125SB",46
24,"AF-1758-5.125SB",46
25,"AF-1758-5.125SB",45
26,"AF-1758-5.125SB",45
27,"AF-1758-5.125SB",45
28,"AF-1758-5.125SB",44
29,"AF-1758-5.125SB",44
30,"AF-1758-5.125SB",44
31,"AF-1758-5.125SB",43
32,"AF-1758-5.125SB",43
33,"AF-1758-5.125SB",43
34,"AF-1758-5.125SB",42
35,"AF-1758-5.125SB",42
36,"AF-1758-5.125SB",42
37,"AF-1758-5.125SB",41
38,"AF-1758-5.125SB",41
39,"AF-1758-5.125SB",41
40,"AF-1758-5.125SB",40
41,"AF-1758-5.125SB",40
42,"AF-1758-5.125SB",40
43,"AF-1758-5.125SB",39
44,"AF-1758-5.125SB",39
45,"AF-1758-5.125SB",39
46,"AF-1758-5.125SB",38
47,"AF-1758-5.125SB",38
48,"AF-1758-5.125SB",38
49,"AF-1758-5.125SB",37
50,"AF-1758-5.125SB",37
51,"AF-1758-5.125SB",37
52,"AF-1758-5.125SB",36
53,"AF-1758-5.125SB",36
1,"AF-2773",76
2,"AF-2773",69
3,"AF-2773",64
4,"AF-2773",60
5,"AF-2773",55
6,"AF-2773",51
7,"AF-2773",48
8,"AF-2773",44
9,"AF-2773",41
10,"AF-2773",38
11,"AF-2773",35
12,"AF-2773",33
13,"AF-2773",30
14,"AF-2773",28
15,"AF-2773",26
16,"AF-2773",24
17,"AF-2773",22
18,"AF-2773",21
19,"AF-2773",19
20,"AF-2773",18
21,"AF-2773",17
22,"AF-2773",15
23,"AF-2773",14
24,"AF-2773",13
25,"AF-2773",12
26,"AF-2773",11
27,"AF-2773",10
28,"AF-2773",10
29,"AF-2773",9
30,"AF-2773",8
31,"AF-2773",8
32,"AF-2773",7
33,"AF-2773",6
34,"AF-2773",6
35,"AF-2773",6
36,"AF-2773",5
37,"AF-2773",5
38,"AF-2773",4
39,"AF-2773",4
40,"AF-2773",4
41,"AF-2773",3
42,"AF-2773",3
43,"AF-2773",3
44,"AF-2773",3
45,"AF-2773",2
46,"AF-2773",2
47,"AF-2773",2
48,"AF-2773",2
49,"AF-2773",2
50,"AF-2773",1
51,"AF-2773",1
52,"AF-2773",1
53,"AF-2773",1
1,"AL400B",41
2,"AL400B",22
3,"AL400B",22
4,"AL400B",22
5,"AL400B",22
6,"AL400B",22
7,"AL400B",22
8,"AL400B",22
9,"AL400B",22
10,"AL400B",22
11,"AL400B",22
12,"AL400B",21
13,"AL400B",21
14,"AL400B",21
15,"AL400B",21
16,"AL400B",21
17,"AL400B",21
18,"AL400B",21
19,"AL400B",21
20,"AL400B",21
21,"AL400B",21
22,"AL400B",21
23,"AL400B",21
24,"AL400B",20
25,"AL400B",20
26,"AL400B",20
27,"AL400B",20
28,"AL400B",20
29,"AL400B",20
30,"AL400B",20
31,"AL400B",20
32,"AL400B",20
33,"AL400B",20
34,"AL400B",20
35,"AL400B",20
36,"AL400B",20
37,"AL400B",19
38,"AL400B",19
39,"AL400B",19
40,"AL400B",19
41,"AL400B",19
42,"AL400B",19
43,"AL400B",19
44,"AL400B",19
45,"AL400B",19
46,"AL400B",19
47,"AL400B",19
48,"AL400B",19
49,"AL400B",19
50,"AL400B",18
51,"AL400B",18
52,"AL400B",18
53,"AL400B",18
1,"AP400-30AN-DX",58
2,"AP400-30AN-DX",14
3,"AP400-30AN-DX",14
4,"AP400-30AN-DX",15
5,"AP400-30AN-DX",15
6,"AP400-30AN-DX",15
7,"AP400-30AN-DX",16
8,"AP400-30AN-DX",16
9,"AP400-30AN-DX",16
10,"AP400-30AN-DX",17
11,"AP400-30AN-DX",17
12,"AP400-30AN-DX",18
13,"AP400-30AN-DX",18
14,"AP400-30AN-DX",18
15,"AP400-30AN-DX",19
16,"AP400-30AN-DX",19
17,"AP400-30AN-DX",20
18,"AP400-30AN-DX",20
19,"AP400-30AN-DX",20
20,"AP400-30AN-DX",21
21,"AP400-30AN-DX",21
22,"AP400-30AN-DX",22
23,"AP400-30AN-DX",22
24,"AP400-30AN-DX",23
25,"AP400-30AN-DX",23
26,"AP400-30AN-DX",24
27,"AP400-30AN-DX",24
28,"AP400-30AN-DX",25
29,"AP400-30AN-DX",26
30,"AP400-30AN-DX",26
31,"AP400-30AN-DX",27
32,"AP400-30AN-DX",27
33,"AP400-30AN-DX",28
34,"AP400-30AN-DX",29
35,"AP400-30AN-DX",29
36,"AP400-30AN-DX",30
37,"AP400-30AN-DX",30
38,"AP400-30AN-DX",31
39,"AP400-30AN-DX",32
40,"AP400-30AN-DX",33
41,"AP400-30AN-DX",33
42,"AP400-30AN-DX",34
43,"AP400-30AN-DX",35
44,"AP400-30AN-DX",35
45,"AP400-30AN-DX",36
46,"AP400-30AN-DX",37
47,"AP400-30AN-DX",38
48,"AP400-30AN-DX",39
49,"AP400-30AN-DX",40
50,"AP400-30AN-DX",40
51,"AP400-30AN-DX",41
52,"AP400-30AN-DX",42
53,"AP400-30AN-DX",43
1,"AS1324242608",58
2,"AS1324242608",33
3,"AS1324242608",33
4,"AS1324242608",33
5,"AS1324242608",33
6,"AS1324242608",32
7,"AS1324242608",32
8,"AS1324242608",32
9,"AS1324242608",32
10,"AS1324242608",32
11,"AS1324242608",31
12,"AS1324242608",31
13,"AS1324242608",31
14,"AS1324242608",31
15,"AS1324242608",31
16,"AS1324242608",30
17,"AS1324242608",30
18,"AS1324242608",30
19,"AS1324242608",30
20,"AS1324242608",30
21,"AS1324242608",29
22,"AS1324242608",29
23,"AS1324242608",29
24,"AS1324242608",29
25,"AS1324242608",29
26,"AS1324242608",29
27,"AS1324242608",28
28,"AS1324242608",28
29,"AS1324242608",28
30,"AS1324242608",28
31,"AS1324242608",28
32,"AS1324242608",27
33,"AS1324242608",27
34,"AS1324242608",27
35,"AS1324242608",27
36,"AS1324242608",27
37,"AS1324242608",27
38,"AS1324242608",26
39,"AS1324242608",26
40,"AS1324242608",26
41,"AS1324242608",26
42,"AS1324242608",26
43,"AS1324242608",26
44,"AS1324242608",25
45,"AS1324242608",25
46,"AS1324242608",25
47,"AS1324242608",25
48,"AS1324242608",25
49,"AS1324242608",25
50,"AS1324242608",25
51,"AS1324242608",24
52,"AS1324242608",24
53,"AS1324242608",24
1,"AS20016RD04.562",55
2,"AS20016RD04.562",24
3,"AS20016RD04.562",24
4,"AS20016RD04.562",24
5,"AS20016RD04.562",24
6,"AS20016RD04.562",24
7,"AS20016RD04.562",24
8,"AS20016RD04.562",24
9,"AS20016RD04.562",25
10,"AS20016RD04.562",25
11,"AS20016RD04.562",25
12,"AS20016RD04.562",25
13,"AS20016RD04.562",25
14,"AS20016RD04.562",25
15,"AS20016RD04.562",25
16,"AS20016RD04.562",26
17,"AS20016RD04.562",26
18,"AS20016RD04.562",26
19,"AS20016RD04.562",26
20,"AS20016RD04.562",26
21,"AS20016RD04.562",26
22,"AS20016RD04.562",26
23,"AS20016RD04.562",27
24,"AS20016RD04.562",27
25,"AS20016RD04.562",27
26,"AS20016RD04.562",27
27,"AS20016RD04.562",27
28,"AS20016RD04.562",27
29,"AS20016RD04.562",27
30,"AS20016RD04.562",28
31,"AS20016RD04.562",28
32,"AS20016RD04.562",28
33,"AS20016RD04.562",28
34,"AS20016RD04.562",28
35,"AS20016RD04.562",28
36,"AS20016RD04.562",28
37,"AS20016RD04.562",29
38,"AS20016RD04.562",29
39,"AS20016RD04.562",29
40,"AS20016RD04.562",29
41,"AS20016RD04.562",29
42,"AS20016RD04.562",29
43,"AS20016RD04.562",30
44,"AS20016RD04.562",30
45,"AS20016RD04.562",30
46,"AS20016RD04.562",30
47,"AS20016RD04.562",30
48,"AS20016RD04.562",30
49,"AS20016RD04.562",31
50,"AS20016RD04.562",31
51,"AS20016RD04.562",31
52,"AS20016RD04.562",31
53,"AS20016RD04.562",31
1,"AS30012RD04.562",60
2,"AS30012RD04.562",21
3,"AS30012RD04.562",22
4,"AS30012RD04.562",22
5,"AS30012RD04.562",22
6,"AS30012RD04.562",22
7,"AS30012RD04.562",23
8,"AS30012RD04.562",23
9,"AS30012RD04.562",23
10,"AS30012RD04.562",24
11,"AS30012RD04.562",24
12,"AS30012RD04.562",24
13,"AS30012RD04.562",24
14,"AS30012RD04.562",25
15,"AS30012RD04.562",25
16,"AS30012RD04.562",25
17,"AS30012RD04.562",25
18,"AS30012RD04.562",26
19,"AS30012RD04.562",26
20,"AS30012RD04.562",26
21,"AS30012RD04.562",27
22,"AS30012RD04.562",27
23,"AS30012RD04.562",27
24,"AS30012RD04.562",28
25,"AS30012RD04.562",28
26,"AS30012RD04.562",28
27,"AS30012RD04.562",29
28,"AS30012RD04.562",29
29,"AS30012RD04.562",29
30,"AS30012RD04.562",30
31,"AS30012RD04.562",30
32,"AS30012RD04.562",30
33,"AS30012RD04.562",31
34,"AS30012RD04.562",31
35,"AS30012RD04.562",31
36,"AS30012RD04.562",32
37,"AS30012RD04.562",32
38,"AS30012RD04.562",32
39,"AS30012RD04.562",33
40,"AS30012RD04.562",33
41,"AS30012RD04.562",33
42,"AS30012RD04.562",34
43,"AS30012RD04.562",34
44,"AS30012RD04.562",35
45,"AS30012RD04.562",35
46,"AS30012RD04.562",35
47,"AS30012RD04.562",36
48,"AS30012RD04.562",36
49,"AS30012RD04.562",37
50,"AS30012RD04.562",37
51,"AS30012RD04.562",37
52,"AS30012RD04.562",38
53,"AS30012RD04.562",38
1,"BF000230-167",459
2,"BF000230-167",386
3,"BF000230-167",372
4,"BF000230-167",359
5,"BF000230-167",346
6,"BF000230-167",334
7,"BF000230-167",322
8,"BF000230-167",310
9,"BF000230-167",299
10,"BF000230-167",288
11,"BF000230-167",278
12,"BF000230-167",268
13,"BF000230-167",259
14,"BF000230-167",249
15,"BF000230-167",240
16,"BF000230-167",232
17,"BF000230-167",223
18,"BF000230-167",215
19,"BF000230-167",208
20,"BF000230-167",200
21,"BF000230-167",193
22,"BF000230-167",186
23,"BF000230-167",180
24,"BF000230-167",173
25,"BF000230-167",167
26,"BF000230-167",161
27,"BF000230-167",155
28,"BF000230-167",150
29,"BF000230-167",144
30,"BF000230-167",139
31,"BF000230-167",134
32,"BF000230-167",129
33,"BF000230-167",125
34,"BF000230-167",120
35,"BF000230-167",116
36,"BF000230-167",112
37,"BF000230-167",108
38,"BF000230-167",104
39,"BF000230-167",100
40,"BF000230-167",97
41,"BF000230-167",93
42,"BF000230-167",90
43,"BF000230-167",87
44,"BF000230-167",83
45,"BF000230-167",80
46,"BF000230-167",78
47,"BF000230-167",75
48,"BF000230-167",72
49,"BF000230-167",69
50,"BF000230-167",67
51,"BF000230-167",65
52,"BF000230-167",62
53,"BF000230-167",60
1,"BF000230-170",673
2,"BF000230-170",575
3,"BF000230-170",491
4,"BF000230-170",419
5,"BF000230-170",358
6,"BF000230-170",305
7,"BF000230-170",261
8,"BF000230-170",222
9,"BF000230-170",190
10,"BF000230-170",162
11,"BF000230-170",138
12,"BF000230-170",118
13,"BF000230-170",101
14,"BF000230-170",86
15,"BF000230-170",73
16,"BF000230-170",62
17,"BF000230-170",53
18,"BF000230-170",45
19,"BF000230-170",39
20,"BF000230-170",33
21,"BF000230-170",28
22,"BF000230-170",24
23,"BF000230-170",20
24,"BF000230-170",17
25,"BF000230-170",15
26,"BF000230-170",12
27,"BF000230-170",11
28,"BF000230-170",9
29,"BF000230-170",8
30,"BF000230-170",6
31,"BF000230-170",5
32,"BF000230-170",5
33,"BF000230-170",4
34,"BF000230-170",3
35,"BF000230-170",3
36,"BF000230-170",2
37,"BF000230-170",2
38,"BF000230-170",1
39,"BF000230-170",1
40,"BF000230-170",1
41,"BF000230-170",1
42,"BF000230-170",1
43,"BF000230-170",0
44,"BF000230-170",0
45,"BF000230-170",0
46,"BF000230-170",0
47,"BF000230-170",0
48,"BF000230-170",0
49,"BF000230-170",0
50,"BF000230-170",0
51,"BF000230-170",0
52,"BF000230-170",0
53,"BF000230-170",0
1,"BF001574",95
2,"BF001574",86
3,"BF001574",81
4,"BF001574",75
5,"BF001574",71
6,"BF001574",66
7,"BF001574",62
8,"BF001574",58
9,"BF001574",54
10,"BF001574",50
11,"BF001574",47
12,"BF001574",44
13,"BF001574",41
14,"BF001574",39
15,"BF001574",36
16,"BF001574",34
17,"BF001574",31
18,"BF001574",29
19,"BF001574",27
20,"BF001574",26
21,"BF001574",24
22,"BF001574",22
23,"BF001574",21
24,"BF001574",20
25,"BF001574",18
26,"BF001574",17
27,"BF001574",16
28,"BF001574",15
29,"BF001574",14
30,"BF001574",13
31,"BF001574",12
32,"BF001574",11
33,"BF001574",11
34,"BF001574",10
35,"BF001574",9
36,"BF001574",9
37,"BF001574",8
38,"BF001574",7
39,"BF001574",7
40,"BF001574",6
41,"BF001574",6
42,"BF001574",6
43,"BF001574",5
44,"BF001574",5
45,"BF001574",4
46,"BF001574",4
47,"BF001574",4
48,"BF001574",4
49,"BF001574",3
50,"BF001574",3
51,"BF001574",3
52,"BF001574",3
53,"BF001574",2
1,"BN5NMO552NA",274
2,"BN5NMO552NA",0
3,"BN5NMO552NA",0
4,"BN5NMO552NA",0
5,"BN5NMO552NA",0
6,"BN5NMO552NA",0
7,"BN5NMO552NA",0
8,"BN5NMO552NA",0
9,"BN5NMO552NA",0
10,"BN5NMO552NA",0
11,"BN5NMO552NA",1
12,"BN5NMO552NA",1
13,"BN5NMO552NA",1
14,"BN5NMO552NA",1
15,"BN5NMO552NA",1
16,"BN5NMO552NA",1
17,"BN5NMO552NA",2
18,"BN5NMO552NA",2
19,"BN5NMO552NA",2
20,"BN5NMO552NA",3
21,"BN5NMO552NA",3
22,"BN5NMO552NA",4
23,"BN5NMO552NA",4
24,"BN5NMO552NA",5
25,"BN5NMO552NA",6
26,"BN5NMO552NA",7
27,"BN5NMO552NA",8
28,"BN5NMO552NA",9
29,"BN5NMO552NA",10
30,"BN5NMO552NA",12
31,"BN5NMO552NA",13
32,"BN5NMO552NA",15
33,"BN5NMO552NA",17
34,"BN5NMO552NA",20
35,"BN5NMO552NA",23
36,"BN5NMO552NA",26
37,"BN5NMO552NA",30
38,"BN5NMO552NA",34
39,"BN5NMO552NA",39
40,"BN5NMO552NA",44
41,"BN5NMO552NA",50
42,"BN5NMO552NA",57
43,"BN5NMO552NA",65
44,"BN5NMO552NA",74
45,"BN5NMO552NA",85
46,"BN5NMO552NA",97
47,"BN5NMO552NA",110
48,"BN5NMO552NA",125
49,"BN5NMO552NA",143
50,"BN5NMO552NA",163
51,"BN5NMO552NA",185
52,"BN5NMO552NA",211
53,"BN5NMO552NA",241
1,"BNMO150P3PWE",65
2,"BNMO150P3PWE",52
3,"BNMO150P3PWE",51
4,"BNMO150P3PWE",49
5,"BNMO150P3PWE",48
6,"BNMO150P3PWE",46
7,"BNMO150P3PWE",45
8,"BNMO150P3PWE",44
9,"BNMO150P3PWE",42
10,"BNMO150P3PWE",41
11,"BNMO150P3PWE",40
12,"BNMO150P3PWE",38
13,"BNMO150P3PWE",37
14,"BNMO150P3PWE",36
15,"BNMO150P3PWE",35
16,"BNMO150P3PWE",34
17,"BNMO150P3PWE",33
18,"BNMO150P3PWE",32
19,"BNMO150P3PWE",31
20,"BNMO150P3PWE",30
21,"BNMO150P3PWE",29
22,"BNMO150P3PWE",28
23,"BNMO150P3PWE",27
24,"BNMO150P3PWE",26
25,"BNMO150P3PWE",26
26,"BNMO150P3PWE",25
27,"BNMO150P3PWE",24
28,"BNMO150P3PWE",23
29,"BNMO150P3PWE",23
30,"BNMO150P3PWE",22
31,"BNMO150P3PWE",21
32,"BNMO150P3PWE",21
33,"BNMO150P3PWE",20
34,"BNMO150P3PWE",19
35,"BNMO150P3PWE",19
36,"BNMO150P3PWE",18
37,"BNMO150P3PWE",18
38,"BNMO150P3PWE",17
39,"BNMO150P3PWE",16
40,"BNMO150P3PWE",16
41,"BNMO150P3PWE",15
42,"BNMO150P3PWE",15
43,"BNMO150P3PWE",14
44,"BNMO150P3PWE",14
45,"BNMO150P3PWE",14
46,"BNMO150P3PWE",13
47,"BNMO150P3PWE",13
48,"BNMO150P3PWE",12
49,"BNMO150P3PWE",12
50,"BNMO150P3PWE",12
51,"BNMO150P3PWE",11
52,"BNMO150P3PWE",11
53,"BNMO150P3PWE",11
1,"BNMO200P3PA",56
2,"BNMO200P3PA",22
3,"BNMO200P3PA",22
4,"BNMO200P3PA",22
5,"BNMO200P3PA",22
6,"BNMO200P3PA",22
7,"BNMO200P3PA",23
8,"BNMO200P3PA",23
9,"BNMO200P3PA",23
10,"BNMO200P3PA",23
11,"BNMO200P3PA",23
12,"BNMO200P3PA",24
13,"BNMO200P3PA",24
14,"BNMO200P3PA",24
15,"BNMO200P3PA",24
16,"BNMO200P3PA",25
17,"BNMO200P3PA",25
18,"BNMO200P3PA",25
19,"BNMO200P3PA",25
20,"BNMO200P3PA",25
21,"BNMO200P3PA",26
22,"BNMO200P3PA",26
23,"BNMO200P3PA",26
24,"BNMO200P3PA",26
25,"BNMO200P3PA",26
26,"BNMO200P3PA",27
27,"BNMO200P3PA",27
28,"BNMO200P3PA",27
29,"BNMO200P3PA",27
30,"BNMO200P3PA",28
31,"BNMO200P3PA",28
32,"BNMO200P3PA",28
33,"BNMO200P3PA",28
34,"BNMO200P3PA",29
35,"BNMO200P3PA",29
36,"BNMO200P3PA",29
37,"BNMO200P3PA",29
38,"BNMO200P3PA",30
39,"BNMO200P3PA",30
40,"BNMO200P3PA",30
41,"BNMO200P3PA",30
42,"BNMO200P3PA",31
43,"BNMO200P3PA",31
44,"BNMO200P3PA",31
45,"BNMO200P3PA",31
46,"BNMO200P3PA",32
47,"BNMO200P3PA",32
48,"BNMO200P3PA",32
49,"BNMO200P3PA",32
50,"BNMO200P3PA",33
51,"BNMO200P3PA",33
52,"BNMO200P3PA",33
53,"BNMO200P3PA",34
1,"BPEM400P1P",98
2,"BPEM400P1P",89
3,"BPEM400P1P",83
4,"BPEM400P1P",78
5,"BPEM400P1P",73
6,"BPEM400P1P",68
7,"BPEM400P1P",64
8,"BPEM400P1P",59
9,"BPEM400P1P",56
10,"BPEM400P1P",52
11,"BPEM400P1P",49
12,"BPEM400P1P",46
13,"BPEM400P1P",43
14,"BPEM400P1P",40
15,"BPEM400P1P",37
